RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises
DATE;FREQUENCE_RETENUE(EN Hz);
01/03/2016 01:50:10;50,0442;
01/03/2016 01:50:20;50,0435;
01/03/2016 01:50:30;50,0371;
01/03/2016 01:50:40;50,0267;
01/03/2016 01:50:50;50,0317;
01/03/2016 01:51:00;50,0399;
01/03/2016 01:51:10;50,0324;
01/03/2016 01:51:20;50,0315;
01/03/2016 01:51:30;50,039;
01/03/2016 01:51:40;50,0463;
01/03/2016 01:51:50;50,0472;
01/03/2016 01:52:00;50,0496;
01/03/2016 01:52:10;50,0399;
01/03/2016 01:52:20;50,0408;
01/03/2016 01:52:30;50,0458;
01/03/2016 01:52:40;50,0372;
01/03/2016 01:52:50;50,036;
01/03/2016 01:53:00;50,0377;
01/03/2016 01:53:10;50,0365;
01/03/2016 01:53:20;50,042;
01/03/2016 01:53:30;50,0312;
01/03/2016 01:53:40;50,0278;
01/03/2016 01:53:50;50,0257;
01/03/2016 01:54:00;50,032;
01/03/2016 01:54:10;50,0316;
01/03/2016 01:54:20;50,0316;
01/03/2016 01:54:30;50,0314;
01/03/2016 01:54:40;50,0313;
01/03/2016 01:54:50;50,0354;
01/03/2016 01:55:00;50,0335;
01/03/2016 01:55:10;50,0268;
01/03/2016 01:55:20;50,0122;
01/03/2016 01:55:30;50,0255;
01/03/2016 01:55:40;50,0238;
01/03/2016 01:55:50;50,0235;
01/03/2016 01:56:00;50,0239;
01/03/2016 01:56:10;50,0361;
01/03/2016 01:56:20;50,0406;
01/03/2016 01:56:30;50,0313;
01/03/2016 01:56:40;50,0304;
01/03/2016 01:56:50;50,0184;
01/03/2016 01:57:00;50,0216;
01/03/2016 01:57:10;50,0261;
01/03/2016 01:57:20;50,0217;
01/03/2016 01:57:30;50,0217;
01/03/2016 01:57:40;50,0269;
01/03/2016 01:57:50;50,0229;
01/03/2016 01:58:00;50,0282;
01/03/2016 01:58:10;50,03;
01/03/2016 01:58:20;50,02;
01/03/2016 01:58:30;50,0176;
01/03/2016 01:58:40;50,0212;
01/03/2016 01:58:50;50,0176;
01/03/2016 01:59:00;50,0144;
01/03/2016 01:59:10;50,0143;
01/03/2016 01:59:20;50,0155;
01/03/2016 01:59:30;50,0191;
